Phone timestamp;sensor timestamp [ns];X [dps];Y [dps];Z [dps]
2022-04-25T11:40:39.884;704202037358364209;-0.21000001;-1.05;1.19
2022-04-25T11:40:39.903;704202037377704532;-0.21000001;-0.91;1.12
2022-04-25T11:40:39.922;704202037397044855;-0.21000001;-0.77;1.05
2022-04-25T11:40:39.942;704202037416385178;-0.21000001;-0.84000003;1.12
2022-04-25T11:40:39.961;704202037435725638;-0.14;-0.98;1.26
2022-04-25T11:40:39.980;704202037455065993;-0.21000001;-1.05;1.26
2022-04-25T11:40:40.000;704202037474406348;-0.14;-0.91;1.26
2022-04-25T11:40:40.019;704202037493746703;-0.21000001;-0.84000003;1.33
2022-04-25T11:40:40.038;704202037513087058;-0.28;-0.84000003;1.26
2022-04-25T11:40:40.058;704202037532427413;-0.21000001;-0.84000003;1.33
2022-04-25T11:40:40.077;704202037551767768;-0.14;-0.98;1.33
2022-04-25T11:40:40.096;704202037571108123;-0.14;-1.05;1.19
2022-04-25T11:40:40.116;704202037590448478;-0.07;-0.98;1.19
2022-04-25T11:40:40.135;704202037609788833;-0.14;-0.98;1.19
2022-04-25T11:40:40.154;704202037629129188;-0.14;-0.98;1.19
2022-04-25T11:40:40.174;704202037648469543;-0.14;-0.98;1.12
2022-04-25T11:40:40.193;704202037667809898;-0.07;-1.19;1.12
2022-04-25T11:40:40.212;704202037687150253;-0.14;-1.19;1.05
2022-04-25T11:40:40.232;704202037706490608;-0.14;-0.91;1.05
2022-04-25T11:40:40.251;704202037725830963;-0.28;-0.63;1.12
2022-04-25T11:40:40.270;704202037745171318;-0.21000001;-0.7;1.05
2022-04-25T11:40:40.290;704202037764511673;-0.14;-0.77;1.05
2022-04-25T11:40:40.309;704202037783852028;-0.14;-0.77;1.05
2022-04-25T11:40:40.328;704202037803192383;0.0;-0.77;0.98
2022-04-25T11:40:40.348;704202037822532738;-0.07;-0.7;0.84000003
2022-04-25T11:40:40.367;704202037841873093;-0.14;-0.63;0.91
2022-04-25T11:40:40.386;704202037861213448;-0.14;-0.7;0.98
2022-04-25T11:40:40.406;704202037880553803;-0.14;-0.63;0.91
2022-04-25T11:40:40.425;704202037899894158;-0.21000001;-0.56;0.98
2022-04-25T11:40:40.445;704202037919234513;-0.14;-0.63;1.05
2022-04-25T11:40:40.464;704202037938574868;-0.21000001;-0.77;1.12
2022-04-25T11:40:40.483;704202037957915223;-0.14;-0.84000003;1.12
2022-04-25T11:40:40.503;704202037977255578;-0.14;-0.91;1.12
2022-04-25T11:40:40.522;704202037996595933;-0.14;-0.98;1.05
2022-04-25T11:40:40.541;704202038015936288;-0.07;-0.98;1.05
2022-04-25T11:40:40.561;704202038035276643;-0.14;-0.84000003;1.05
2022-04-25T11:40:40.580;704202038054616998;-0.21000001;-0.77;1.12
2022-04-25T11:40:40.599;704202038073957353;-0.14;-0.77;1.12
2022-04-25T11:40:40.619;704202038093297708;-0.14;-0.84000003;1.12
2022-04-25T11:40:40.638;704202038112638063;-0.21000001;-0.77;1.19
2022-04-25T11:40:40.657;704202038131978418;-0.28;-0.7;1.33
2022-04-25T11:40:40.677;704202038151318773;-0.28;-0.63;1.26
2022-04-25T11:40:40.696;704202038170659128;-0.07;-1.12;1.19
2022-04-25T11:40:40.715;704202038189999483;-0.07;-1.26;1.12
2022-04-25T11:40:40.735;704202038209339838;-0.14;-1.19;1.26
2022-04-25T11:40:40.754;704202038228680193;-0.21000001;-1.05;1.26
2022-04-25T11:40:40.773;704202038248020548;-0.35;-0.77;1.05
2022-04-25T11:40:40.793;704202038267360903;-0.28;-0.63;1.05
