Phone timestamp;PP-interval [ms];error estimate [ms];blocker;contact;contact;hr [bpm]
2022-04-25T11:42:07.340;955;7;0;1;1;53
2022-04-25T11:42:08.295;1091;8;0;1;1;53
2022-04-25T11:42:09.386;1176;8;0;1;1;53
2022-04-25T11:42:06.321;1151;7;0;1;1;0
2022-04-25T11:42:07.472;1134;7;1;1;1;0
2022-04-25T11:42:08.606;964;9;1;1;1;0
2022-04-25T11:42:09.570;967;11;1;1;1;0
2022-04-25T11:42:10.537;920;12;0;1;1;0
2022-04-25T11:42:11.383;856;12;0;1;1;0
2022-04-25T11:42:16.460;940;11;0;1;1;56
2022-04-25T11:42:17.400;1029;9;0;1;1;56
2022-04-25T11:42:18.429;1094;8;0;1;1;56
2022-04-25T11:42:19.523;1086;8;0;1;1;56
2022-04-25T11:42:21.689;1030;7;0;1;1;53
2022-04-25T11:42:22.719;1108;7;0;1;1;53
2022-04-25T11:42:23.827;1221;9;0;1;1;53
2022-04-25T11:42:25.048;1174;10;0;1;1;53
2022-04-25T11:42:26.222;1094;11;0;1;1;53
2022-04-25T11:42:26.386;938;10;0;1;1;51
2022-04-25T11:42:27.324;1107;9;0;1;1;51
2022-04-25T11:42:28.431;1234;10;0;1;1;51
2022-04-25T11:42:29.665;1206;12;0;1;1;51
2022-04-25T11:42:31.521;1089;10;0;1;1;53
2022-04-25T11:42:32.610;1083;10;0;1;1;53
2022-04-25T11:42:33.693;1220;11;0;1;1;53
2022-04-25T11:42:34.913;1148;12;0;1;1;53
2022-04-25T11:42:36.061;1072;12;0;1;1;53
2022-04-25T11:42:36.466;901;11;0;1;1;57
2022-04-25T11:42:37.367;1086;9;0;1;1;57
2022-04-25T11:42:38.453;1291;10;0;1;1;57
2022-04-25T11:42:39.744;1008;11;0;1;1;57
2022-04-25T11:42:41.296;837;414;0;1;1;48
2022-04-25T11:42:42.133;1076;9;0;1;1;48
2022-04-25T11:42:43.209;1282;12;0;1;1;48
2022-04-25T11:42:44.491;1264;15;0;1;1;48
2022-04-25T11:42:46.372;1228;12;0;1;1;49
2022-04-25T11:42:47.600;1104;11;0;1;1;49
2022-04-25T11:42:48.704;1175;13;0;1;1;49
2022-04-25T11:42:49.879;1241;15;0;1;1;49
2022-04-25T11:42:51.120;1222;15;0;1;1;49
2022-04-25T11:42:51.413;1162;12;0;1;1;48
2022-04-25T11:42:52.575;1253;10;0;1;1;48
2022-04-25T11:42:53.828;1287;12;0;1;1;48
2022-04-25T11:42:55.115;1215;13;0;1;1;48
2022-04-25T11:42:56.236;1290;11;0;1;1;49
2022-04-25T11:42:57.526;1236;9;0;1;1;49
2022-04-25T11:42:58.762;1209;11;0;1;1;49
2022-04-25T11:42:59.971;1278;10;0;1;1;49
2022-04-25T11:43:01.368;1210;8;0;1;1;48
2022-04-25T11:43:02.578;1135;8;0;1;1;48
2022-04-25T11:43:03.713;1253;8;0;1;1;48
2022-04-25T11:43:04.966;1282;9;0;1;1;48
2022-04-25T11:43:06.290;1226;8;0;1;1;51
2022-04-25T11:43:07.516;1299;6;0;1;1;51
2022-04-25T11:43:08.815;1218;7;0;1;1;51
2022-04-25T11:43:10.033;1120;9;0;1;1;51
2022-04-25T11:43:11.264;1176;8;0;1;1;50
2022-04-25T11:43:12.440;1134;8;0;1;1;50
2022-04-25T11:43:13.574;1143;9;0;1;1;50
2022-04-25T11:43:14.717;1231;9;0;1;1;50
2022-04-25T11:43:16.313;1191;8;0;1;1;51
2022-04-25T11:43:17.504;1175;8;0;1;1;51
2022-04-25T11:43:18.679;1192;8;0;1;1;51
2022-04-25T11:43:19.871;1197;9;0;1;1;51
2022-04-25T11:43:21.434;1131;7;0;1;1;51
2022-04-25T11:43:22.565;1158;7;0;1;1;51
2022-04-25T11:43:23.723;1209;8;0;1;1;51
2022-04-25T11:43:24.932;1132;9;0;1;1;51
2022-04-25T11:43:26.064;1188;8;0;1;1;51
2022-04-25T11:43:26.302;1180;7;0;1;1;50
2022-04-25T11:43:27.482;1161;5;0;1;1;50
2022-04-25T11:43:28.643;1187;4;0;1;1;50
2022-04-25T11:43:29.830;1230;3;0;1;1;50
2022-04-25T11:43:31.370;1169;3;0;1;1;49
2022-04-25T11:43:32.539;1201;5;0;1;1;49
2022-04-25T11:43:33.740;1162;6;0;1;1;49
2022-04-25T11:43:34.902;1263;6;0;1;1;49
2022-04-25T11:43:36.405;1270;6;0;1;1;55
2022-04-25T11:43:37.675;1227;6;0;1;1;55
2022-04-25T11:43:38.902;1222;7;0;1;1;55
2022-04-25T11:43:40.124;1096;9;0;1;1;55
2022-04-25T11:43:41.399;958;8;0;1;1;48
2022-04-25T11:43:42.357;1025;8;0;1;1;48
2022-04-25T11:43:43.382;1277;12;0;1;1;48
2022-04-25T11:43:44.659;1240;16;0;1;1;48
2022-04-25T11:43:45.899;1253;16;0;1;1;48
2022-04-25T11:43:46.464;1178;14;0;1;1;56
2022-04-25T11:43:47.642;1177;12;0;1;1;56
2022-04-25T11:43:48.819;1148;11;0;1;1;56
2022-04-25T11:43:49.967;1086;11;0;1;1;56
2022-04-25T11:43:51.378;953;10;0;1;1;57
2022-04-25T11:43:52.331;1050;9;0;1;1;57
2022-04-25T11:43:53.381;1197;10;0;1;1;57
2022-04-25T11:43:54.578;1108;11;0;1;1;57
2022-04-25T11:43:55.686;917;12;0;1;1;57
2022-04-25T11:43:56.200;1065;11;0;1;1;60
2022-04-25T11:43:57.265;1244;8;0;1;1;60
2022-04-25T11:43:58.509;1067;8;0;1;1;60
2022-04-25T11:43:59.576;905;9;0;1;1;60
2022-04-25T11:44:00.481;1011;10;0;1;1;60
2022-04-25T11:44:01.188;1107;9;0;1;1;56
2022-04-25T11:44:02.295;1227;8;0;1;1;56
2022-04-25T11:44:03.522;1066;9;0;1;1;56
2022-04-25T11:44:04.588;1000;11;0;1;1;56
2022-04-25T11:44:06.347;1066;9;0;1;1;49
2022-04-25T11:44:07.413;1266;10;0;1;1;49
2022-04-25T11:44:08.679;1128;12;0;1;1;49
2022-04-25T11:44:09.807;1254;10;0;1;1;49
2022-04-25T11:44:11.245;1217;9;0;1;1;53
2022-04-25T11:44:12.462;1177;8;0;1;1;53
2022-04-25T11:44:13.639;1067;9;0;1;1;53
2022-04-25T11:44:14.706;1132;11;0;1;1;53
2022-04-25T11:44:15.838;1172;11;0;1;1;53
2022-04-25T11:44:16.214;1118;10;0;1;1;52
2022-04-25T11:44:17.332;977;9;0;1;1;52
2022-04-25T11:44:18.309;1034;10;0;1;1;52
2022-04-25T11:44:19.343;1169;11;0;1;1;52
2022-04-25T11:44:21.314;1236;9;0;1;1;51
2022-04-25T11:44:22.550;1127;8;0;1;1;51
2022-04-25T11:44:23.677;1115;10;0;1;1;51
2022-04-25T11:44:24.792;1222;12;0;1;1;51
2022-04-25T11:44:26.014;1146;13;0;1;1;51
2022-04-25T11:44:26.299;1097;11;0;1;1;52
2022-04-25T11:44:27.396;1205;10;0;1;1;52
2022-04-25T11:44:28.601;1194;11;0;1;1;52
2022-04-25T11:44:29.795;1142;11;0;1;1;52
2022-04-25T11:44:31.311;1132;9;0;1;1;54
2022-04-25T11:44:32.443;1150;8;0;1;1;54
2022-04-25T11:44:33.593;1178;8;0;1;1;54
2022-04-25T11:44:34.771;1084;8;0;1;1;54
2022-04-25T11:44:36.368;1096;7;0;1;1;56
2022-04-25T11:44:37.464;1224;7;0;1;1;56
2022-04-25T11:44:38.688;1196;9;0;1;1;56
2022-04-25T11:44:39.884;1104;11;0;1;1;56
2022-04-25T11:44:40.988;967;12;0;1;1;56
2022-04-25T11:44:41.414;1088;10;0;1;1;55
2022-04-25T11:44:42.502;1154;8;0;1;1;55
2022-04-25T11:44:43.656;1101;9;0;1;1;55
2022-04-25T11:44:44.757;1034;9;0;1;1;55
2022-04-25T11:44:46.365;1147;8;0;1;1;56
2022-04-25T11:44:47.512;1194;8;0;1;1;56
2022-04-25T11:44:48.706;1029;9;0;1;1;56
2022-04-25T11:44:49.735;993;11;0;1;1;56
2022-04-25T11:44:50.728;1127;12;0;1;1;56
2022-04-25T11:44:51.406;1102;11;0;1;1;51
2022-04-25T11:44:52.508;955;10;0;1;1;51
2022-04-25T11:44:53.463;1140;11;0;1;1;51
2022-04-25T11:44:54.603;1236;10;0;1;1;51
2022-04-25T11:44:56.365;1184;9;0;1;1;54
