Phone timestamp;sensor timestamp [ns];X [G];Y [G];Z [G]
2022-04-25T11:40:17.380;704202013986125428;-1.1595;-0.624;0.354
2022-04-25T11:40:17.400;704202014006348124;-1.1625;-0.6195;0.354
2022-04-25T11:40:17.421;704202014026570820;-1.164;-0.61800003;0.354
2022-04-25T11:40:17.441;704202014046793516;-1.167;-0.615;0.354
2022-04-25T11:40:17.461;704202014067016212;-1.167;-0.609;0.3525
2022-04-25T11:40:17.481;704202014087238908;-1.1625;-0.612;0.354
2022-04-25T11:40:17.501;704202014107461604;-1.17;-0.6195;0.354
2022-04-25T11:40:17.522;704202014127684300;-1.1745;-0.6195;0.3495
2022-04-25T11:40:17.542;704202014147906996;-1.1745;-0.6165;0.3525
2022-04-25T11:40:17.562;704202014168129692;-1.17;-0.612;0.3525
2022-04-25T11:40:17.582;704202014188352388;-1.164;-0.6105;0.3525
2022-04-25T11:40:17.603;704202014208575084;-1.1625;-0.615;0.3555
2022-04-25T11:40:17.623;704202014228797780;-1.1625;-0.6135;0.354
2022-04-25T11:40:17.643;704202014249020476;-1.164;-0.612;0.3555
2022-04-25T11:40:17.663;704202014269243172;-1.1655;-0.615;0.3525
2022-04-25T11:40:17.684;704202014289465868;-1.1595;-0.61800003;0.348
